"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","423","Login is rejected for invalid credentials","","2026-09-02","passed","2026-09-02","","","",""
"","5699","Successful login with a pooled user","","2026-09-02","passed","2026-09-02","","","",""
"","327","Login is rejected for invalid credentials","","2026-09-02","passed","2026-09-02","","","",""
"","16326","Checkout requires a postal code","","2026-09-02","broken","2026-09-02","","","",""
"","1967","Complete a purchase of multiple products","","2026-09-02","passed","2026-09-02","","","",""
"","613","Login is rejected for invalid credentials","","2026-09-02","passed","2026-09-02","","","",""
"","2091","Adding and removing items updates the cart badge","","2026-09-02","passed","2026-09-02","","","",""
"","1248","Items added to the cart appear on the checkout overview","","2026-09-02","passed","2026-09-02","","","",""
"","10798","problem_user cannot complete checkout because the last name field is broken","","2026-09-02","broken","2026-09-02","","","",""
"","620","A locked-out user is rejected at login","","2026-09-02","passed","2026-09-02","","","",""
"","1648","Complete a purchase of multiple products","","2026-09-02","passed","2026-09-02","","","",""
"","10871","Complete a purchase of a single product","","2026-09-02","broken","2026-09-02","","","",""
