"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","606","Successful login with a pooled user","","2026-08-22","passed","2026-08-22","","","",""
"","919","A locked-out user is rejected at login","","2026-08-22","passed","2026-08-22","","","",""
"","10682","problem_user cannot complete checkout because the last name field is broken","","2026-08-22","broken","2026-08-22","","","",""
"","10890","Items added to the cart appear on the checkout overview","","2026-08-22","broken","2026-08-22","","","",""
"","11050","Complete a purchase of a single product","","2026-08-22","broken","2026-08-22","","","",""
"","614","Login is rejected for invalid credentials","","2026-08-22","passed","2026-08-22","","","",""
"","15965","Complete a purchase of multiple products","","2026-08-22","broken","2026-08-22","","","",""
"","16067","Adding and removing items updates the cart badge","","2026-08-22","broken","2026-08-22","","","",""
"","490","Login is rejected for invalid credentials","","2026-08-22","passed","2026-08-22","","","",""
"","444","Login is rejected for invalid credentials","","2026-08-22","passed","2026-08-22","","","",""
"","11007","Checkout requires a postal code","","2026-08-22","broken","2026-08-22","","","",""
"","2442","Complete a purchase of multiple products","","2026-08-22","passed","2026-08-22","","","",""
