"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","193","Login is rejected for invalid credentials","","2026-09-11","passed","2026-09-11","","","",""
"","717","Items added to the cart appear on the checkout overview","","2026-09-11","passed","2026-09-11","","","",""
"","977","Complete a purchase of multiple products","","2026-09-11","passed","2026-09-11","","","",""
"","565","problem_user cannot complete checkout because the last name field is broken","","2026-09-11","passed","2026-09-11","","","",""
"","247","Login is rejected for invalid credentials","","2026-09-11","passed","2026-09-11","","","",""
"","797","Complete a purchase of a single product","","2026-09-11","passed","2026-09-11","","","",""
"","1199","Adding and removing items updates the cart badge","","2026-09-11","passed","2026-09-11","","","",""
"","231","Login is rejected for invalid credentials","","2026-09-11","passed","2026-09-11","","","",""
"","5668","Checkout requires a postal code","","2026-09-11","passed","2026-09-11","","","",""
"","239","A locked-out user is rejected at login","","2026-09-11","passed","2026-09-11","","","",""
"","349","Successful login with a pooled user","","2026-09-11","passed","2026-09-11","","","",""
"","982","Complete a purchase of multiple products","","2026-09-11","passed","2026-09-11","","","",""
