"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","279","Login is rejected for invalid credentials","","2026-08-26","passed","2026-08-26","","","",""
"","628","problem_user cannot complete checkout because the last name field is broken","","2026-08-26","passed","2026-08-26","","","",""
"","5773","Complete a purchase of a single product","","2026-08-26","passed","2026-08-26","","","",""
"","289","Login is rejected for invalid credentials","","2026-08-26","passed","2026-08-26","","","",""
"","356","Successful login with a pooled user","","2026-08-26","passed","2026-08-26","","","",""
"","768","Checkout requires a postal code","","2026-08-26","passed","2026-08-26","","","",""
"","364","A locked-out user is rejected at login","","2026-08-26","passed","2026-08-26","","","",""
"","1086","Complete a purchase of multiple products","","2026-08-26","passed","2026-08-26","","","",""
"","591","Items added to the cart appear on the checkout overview","","2026-08-26","passed","2026-08-26","","","",""
"","260","Login is rejected for invalid credentials","","2026-08-26","passed","2026-08-26","","","",""
"","860","Complete a purchase of multiple products","","2026-08-26","passed","2026-08-26","","","",""
"","1028","Adding and removing items updates the cart badge","","2026-08-26","passed","2026-08-26","","","",""
